iter	Passed	Remaining
1469	13993	285
1470	14005	276
1471	14015	266
1472	14024	257
1473	14033	247
1474	14042	238
1475	14050	228
1476	14060	218
1477	14069	209
1478	14079	199
1479	14088	190
1480	14098	180
1481	14108	171
1482	14117	161
1483	14123	152
1484	14132	142
1485	14144	133
1486	14153	123
1487	14163	114
1488	14172	104
1489	14181	95
1490	14190	85
1491	14197	76
1492	14206	66
1493	14215	57
1494	14221	47
1495	14243	38
1496	14249	28
1497	14260	19
1498	14269	9
1499	14279	0
